Agg asslt,Camp/campground,1
Simple asslt,Field/woods,50
Weapon law violations,Govt/public building,1
Intimidation,Rest area,3
Drug/Narc violations,Drug store/dr office/hosp,4
Agg asslt,School--college/university,17
Theft from building,Terminal,1
Impersonation,Church/Synagogue/Temple,1
Drug/Narc violations,School/college,4
Theft of mv parts,Parking lot/garage,5
Wire fraud,Residence/home,4
Extort/blackmail,Office building,2
All other larceny,Shopping mall,2
Counterfeit/forgery,Restaurant,4
Sodomy,Parking lot/garage,1
Theft from motor vehicle,Camp/campground,1
Counterfeit/forgery,Highway/road/alley,1
Kidnapping/abduction,Highway/road/alley,4
Agg asslt,Govt/public building,30
Simple asslt,Abandoned/condemned structure,2
False pretenses/swindle/conf game,Convenience store,1
Impersonation,Office building,1
Negligent manslaughter,Bar,1
Kidnapping/abduction,Parking lot/garage,1
All other larceny,Department store,21
Motor vehicle theft,Parking lot/garage,31
Stolen property offenses,Field/woods,1
Robbery,Bar,7
All other larceny,Rental store,1
Pornography/obscene material,School--college/university,1
Agg asslt,Service/gas station,40
All other larceny,School/college,19
Rape,Residence/home,24
Agg asslt,Bank,5
Murder/non-neg manslaughter,Service/gas station,1
Arson,Specialty store,1
Intimidation,Abandoned/condemned structure,3
Intimidation,Liquor store,14
Destruct/vandalism,Farm facility,2
Destruct/vandalism,Restaurant,104
Intimidation,Industrial site,18
Burg/B & E,Park/playground,1
All other larceny,School--elementary/secondary,13
Shoplifting,Other/unknown,5
Agg asslt,Liquor store,12
Fondling (Indecent Liberties/Child Molesting),Drug store/dr office/hosp,1
Drug equip violations,Parking lot/garage,1
Simple asslt,Farm facility,1
False pretenses/swindle/conf game,Auto dealership new/used,1
Credit card/ATM fraud,Tribal lands,1
Theft from motor vehicle,School--college/university,2
Intimidation,Shelter--mission/homeless,4
All other larceny,Bank,5
Extort/blackmail,Lake/waterway,1
Burg/B & E,Farm facility,2
Robbery,Highway/road/alley,338
Agg asslt,Grocery/supermarket,27
Kidnapping/abduction,Other/unknown,2
Weapon law violations,Field/woods,1
Theft from building,Arena/stadium/fairgrounds/coliseum,1
Intimidation,Church/Synagogue/Temple,158
Counterfeit/forgery,Department store,3
Destruct/vandalism,Field/woods,72
Credit card/ATM fraud,Department store,7
All other larceny,Rest area,1
Agg asslt,Industrial site,2
Intimidation,Office building,190
Burg/B & E,Field/woods,2
Counterfeit/forgery,Drug store/dr office/hosp,1
Destruct/vandalism,Community center,11
Motor vehicle theft,Field/woods,1
Agg asslt,Bar,145
Stolen property offenses,Other/unknown,2
Intimidation,Service/gas station,107
Intimidation,Field/woods,23
Agg asslt,Field/woods,39
Murder/non-neg manslaughter,Parking lot/garage,1
Murder/non-neg manslaughter,Convenience store,1
Agg asslt,Drug store/dr office/hosp,22
Intimidation,Construction site,11
False pretenses/swindle/conf game,Residence/home,27
Destruct/vandalism,Tribal lands,1
Burg/B & E,Hotel/motel,5
Burg/B & E,Drug store/dr office/hosp,3
Sodomy,Residence/home,5
Simple asslt,Gambling facility/casino/race track,5
Arson,Grocery/supermarket,3
Drug/Narc violations,Department store,1
Simple asslt,Specialty store,34
Credit card/ATM fraud,Grocery/supermarket,2
Simple asslt,Bank,6
Arson,Other/unknown,11
Drug/Narc violations,School--college/university,1
Murder/non-neg manslaughter,Hotel/motel,1
Agg asslt,Residence/home,706
All other larceny,Residence/home,252
Arson,Office building,3
Motor vehicle theft,Office building,1
Motor vehicle theft,Hotel/motel,1
Counterfeit/forgery,Other/unknown,1
Pornography/obscene material,Other/unknown,2
Simple asslt,Tribal lands,1
Burg/B & E,Industrial site,2
Fondling (Indecent Liberties/Child Molesting),Other/unknown,1
Embezzlement,Department store,1
Burg/B & E,Church/Synagogue/Temple,53
Destruct/vandalism,Hotel/motel,33
Intimidation,Drug store/dr office/hosp,141
Arson,Field/woods,2
Weapon law violations,Parking lot/garage,1
Agg asslt,Park/playground,51
Drug equip violations,Department store,1
Impersonation,Department store,1
Drug equip violations,Residence/home,11
Statutory rape,Field/woods,1
Theft from motor vehicle,Highway/road/alley,32
Intimidation,Jail/prison,45
Burg/B & E,Office building,18
Sodomy,Highway/road/alley,2
Agg asslt,Arena/stadium/fairgrounds/coliseum,2
Fondling (Indecent Liberties/Child Molesting),Residence/home,22
Drug equip violations,Grocery/supermarket,3
Weapon law violations,Specialty store,1
Rape,Field/woods,1
Impersonation,School--elementary/secondary,1
Rape,Bar,3
False pretenses/swindle/conf game,Specialty store,4
Simple asslt,Rest area,7
Weapon law violations,Department store,2
Robbery,Office building,2
Robbery,Church/Synagogue/Temple,2
Simple asslt,Terminal,151
All other larceny,Convenience store,12
All other larceny,Specialty store,9
Burg/B & E,Restaurant,13
Impersonation,Service/gas station,1
Murder/non-neg manslaughter,Military installation,1
Intimidation,Auto dealership new/used,3
False pretenses/swindle/conf game,Other/unknown,9
Fondling (Indecent Liberties/Child Molesting),Jail/prison,2
Kidnapping/abduction,School--elementary/secondary,1
Credit card/ATM fraud,Restaurant,1
Destruct/vandalism,Construction site,21
Destruct/vandalism,Terminal,41
Robbery,Park/playground,19
Fondling (Indecent Liberties/Child Molesting),School--college/university,1
Motor vehicle theft,Specialty store,1
False pretenses/swindle/conf game,Shopping mall,1
Intimidation,School--elementary/secondary,260
Fondling (Indecent Liberties/Child Molesting),Highway/road/alley,3
Rape,Rental store,1
All other larceny,Other/unknown,47
Intimidation,Park/playground,34
Robbery,Liquor store,3
Destruct/vandalism,Abandoned/condemned structure,8
Rape,Hotel/motel,2
Motor vehicle theft,Shopping mall,1
All other larceny,Highway/road/alley,53
Simple asslt,Convenience store,107
Purse-snatching,Highway/road/alley,1
Simple asslt,Govt/public building,94
Robbery,Tribal lands,1
Shoplifting,Highway/road/alley,1
Counterfeit/forgery,Govt/public building,2
Theft from motor vehicle,Specialty store,1
Simple asslt,Highway/road/alley,1560
Pornography/obscene material,Residence/home,2
Simple asslt,Camp/campground,4
Agg asslt,Gambling facility/casino/race track,1
Statutory rape,Residence/home,3
Destruct/vandalism,Specialty store,67
All other larceny,Restaurant,8
Drug/Narc violations,Shopping mall,1
Burg/B & E,ATM separate from bank,1
Credit card/ATM fraud,Highway/road/alley,1
Theft from building,Service/gas station,1
Theft from building,Restaurant,4
False pretenses/swindle/conf game,Highway/road/alley,3
Incest,Residence/home,1
Drug/Narc violations,Park/playground,1
Simple asslt,School--college/university,59
Destruct/vandalism,Amusement park,2
Wire fraud,Other/unknown,2
