Intimidation,Convenience store,FL,2
Agg asslt,Highway/road/alley,MO,37
Agg asslt,Jail/prison,MT,4
Simple asslt,Bar,NV,3
Intimidation,Other/unknown,PA,4
All other larceny,Residence/home,VA,4
Agg asslt,Department store,AZ,4
Intimidation,Department store,AZ,2
Burg/B & E,Service/gas station,MA,2
Intimidation,Abandoned/condemned structure,MN,2
Destruct/vandalism,School--elementary/secondary,MT,1
Agg asslt,Other/unknown,OR,2
Destruct/vandalism,Terminal,PA,1
Simple asslt,Drug store/dr office/hosp,AZ,3
All other larceny,Other/unknown,LA,2
Agg asslt,Bar,OR,1
Robbery,Specialty store,TN,1
Destruct/vandalism,School--elementary/secondary,TN,5
Simple asslt,Govt/public building,MI,3
Agg asslt,Convenience store,TN,4
Kidnapping/abduction,Residence/home,VA,1
Burg/B & E,Service/gas station,CT,1
Destruct/vandalism,Highway/road/alley,ID,2
Simple asslt,Park/playground,KY,2
Simple asslt,Parking lot/garage,MN,11
Intimidation,Residence/home,RI,2
Drug/Narc violations,Highway/road/alley,TN,15
Simple asslt,Field/woods,VA,3
All other larceny,Office building,KY,2
Intimidation,Specialty store,NC,1
Intimidation,Office building,OK,2
Simple asslt,Department store,OK,2
All other larceny,Bank,CT,2
All other larceny,Other/unknown,MA,2
Simple asslt,Service/gas station,OH,5
Drug/Narc violations,Park/playground,OH,1
Robbery,Bar,WV,1
Theft from motor vehicle,Other/unknown,KY,1
Burg/B & E,Industrial site,MA,1
Destruct/vandalism,Industrial site,MA,1
All other larceny,School--college/university,MA,1
Burg/B & E,Rental store,OH,1
Simple asslt,Bar,ID,8
Sodomy,Residence/home,ME,1
Simple asslt,School--elementary/secondary,MO,9
Agg asslt,Other/unknown,NY,117
Burg/B & E,Residence/home,NY,20
Incest,Residence/home,OH,1
Agg asslt,Department store,TN,1
Theft from motor vehicle,Parking lot/garage,WA,9
Agg asslt,Bar,AL,1
Agg asslt,Field/woods,CA,6
Simple asslt,Office building,IL,2
Robbery,Parking lot/garage,VA,2
Fondling (Indecent Liberties/Child Molesting),Highway/road/alley,KY,1
Robbery,Park/playground,MO,1
Agg asslt,Jail/prison,NC,3
Stolen property offenses,Convenience store,TN,1
Burg/B & E,Grocery/supermarket,WA,1
Agg asslt,Parking lot/garage,AK,1
Theft from building,Church/Synagogue/Temple,CT,1
Destruct/vandalism,Highway/road/alley,ME,8
Burg/B & E,Residence/home,NC,5
Destruct/vandalism,Residence/home,NH,10
Burg/B & E,Rental store,TN,1
Burg/B & E,Parking lot/garage,UT,1
Intimidation,Highway/road/alley,VA,21
Intimidation,Terminal,WA,8
Theft of mv parts,Highway/road/alley,OH,1
Simple asslt,Park/playground,TN,2
Intimidation,Grocery/supermarket,AZ,1
